Fighter Name,Fighter Record,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie
Cody Donovan,"['8', '5', '0']",75,205,74,Orthodox,"Feb20,1981",5.61,59,5.44,45,1.67,28,0,1.7,8,5,0
Rafael Dos Anjos,"['28', '9', '0']",68,170,70,Southpaw,"Oct26,1984",3.67,44,3.11,64,2.14,40,66,0.7,28,9,0
Junior Dos Santos,"['18', '5', '0']",76,238,77,Orthodox,"Jan30,1984",4.89,49,3.32,55,0.41,62,80,0.1,18,5,0
Antonio Dos Santos,"['6', '3', '0']",70,185,72,Orthodox,"Jul21,1988",5.4,51,3.94,43,0.0,0,100,0.0,6,3,0
Tiago Trator,"['20', '6', '2 (1 NC)']",69,145,70,Orthodox,"Apr12,1987",3.69,35,4.23,59,0.63,11,33,0.3,20,6,2
Danny Downes,"['8', '3', '0']",72,155,72,Orthodox,"Apr08,1986",1.66,34,3.53,37,0.0,0,37,0.5,8,3,0
Tomasz Drwal,"['19', '4', '1']",73,205,76,Orthodox,"Jan22,1982",3.29,38,2.26,57,3.55,60,82,0.4,19,4,1
Robert Drysdale,"['6', '0', '0 (1 NC)']",75,205,78,Orthodox,"Oct05,1981",0.0,0,0.0,0,7.32,100,0,21.9,6,0,0
Milana Dudieva,"['11', '5', '0']",63,135,61,Orthodox,"Aug04,1989",0.87,31,3.43,58,2.34,45,0,0.0,11,5,0
Todd Duffee,"['9', '3', '0']",75,260,79,Orthodox,"Dec06,1985",5.58,35,2.61,60,0.0,0,90,0.0,9,3,0
Joe Duffy,"['16', '3', '0']",70,155,73,Orthodox,"Feb18,1988",3.07,34,3.45,58,0.66,100,71,1.0,16,3,0
Alexis Dufresne,"['5', '4', '0']",69,135,68,Orthodox,"Aug31,1990",1.33,27,3.33,60,1.5,50,50,0.0,5,4,0
Evan Dunham,"['18', '6', '1']",70,155,70,Southpaw,"Dec18,1981",5.46,39,3.51,62,1.85,32,80,1.0,18,6,1
Tom Duquesnoy,"['16', '2', '0 (1 NC)']",67,135,68,Orthodox,"Jun21,1993",3.83,45,5.3,62,0.42,25,46,0.0,16,2,0
Reuben Duran,"['8', '5', '1']",67,135,69,Orthodox,"Jul02,1983",3.19,49,2.61,50,0.98,23,25,0.7,8,5,1
Luiz Dutra,"['11', '4', '1']",71,170,71,Orthodox,"May06,1982",3.92,50,4.8,41,0.0,0,100,0.0,11,4,1
Merab Dvalishvili,"['7', '3', '0']",66,135,68,Orthodox,"Jan10,1991",3.13,39,3.87,45,11.0,47,100,0.0,7,3,0
Matt Dwyer,"['8', '4', '0']",76,170,76,Orthodox,"Dec17,1989",2.57,34,3.24,54,0.44,10,60,0.0,8,4,0
Rolando Dy,"['9', '6', '1 (1 NC)']",68,145,69,Orthodox,"Aug11,1990",2.35,37,2.95,52,0.38,20,64,0.0,9,6,1
Cody East,"['12', '3', '0']",75,245,74,Orthodox,"Jun29,1988",4.15,43,7.32,40,3.97,100,16,0.0,12,3,0
Marvin Eastman,"['17', '14', '1']",69,185,73,Orthodox,"Jun08,1971",2.21,35,3.92,42,1.38,33,81,0.0,17,14,1
Mike Easton,"['13', '5', '0']",66,135,70,Southpaw,"Jan25,1984",3.51,37,4.28,61,0.75,22,66,0.0,13,5,0
Brian Ebersole,"['51', '17', '1 (1 NC)']",72,170,73,Southpaw,"Nov27,1980",2.32,49,2.14,56,1.7,23,61,0.1,51,17,1
Mark Eddiva,"['6', '3', '0']",68,145,68,Orthodox,"Feb16,1986",3.37,45,2.98,54,1.45,22,63,0.0,6,3,0
Frankie Edgar,"['21', '6', '1']",66,145,68,Orthodox,"Oct16,1981",3.58,40,2.18,70,2.56,35,65,0.4,21,6,1
Abdul-Kerim Edilov,"['17', '4', '0']",74,205,78,Orthodox,"Nov25,1991",10.22,61,0.13,92,3.98,100,0,2.0,17,4,0
Johnny Eduardo,"['28', '11', '0']",67,135,71,Orthodox,"Aug03,1978",2.58,37,3.17,62,0.0,0,62,0.6,28,11,0
Yves Edwards,"['42', '22', '1 (1 NC)']",69,155,73,Southpaw,"Sep30,1976",2.91,42,2.34,66,0.76,53,69,0.7,42,22,1
Justin Edwards,"['9', '5', '0']",70,155,70,Orthodox,"Jan26,1983",2.68,42,3.32,51,2.14,26,27,1.0,9,5,0
Leon Edwards,"['15', '3', '0']",72,170,74,Southpaw,"Aug25,1991",2.17,47,1.9,56,1.52,32,67,0.6,15,3,0
Darren Elkins,"['25', '5', '0']",70,145,71,Orthodox,"May16,1984",3.14,36,2.4,56,2.76,36,50,1.5,25,5,0
Jake Ellenberger,"['31', '13', '0']",69,170,71,Orthodox,"Mar28,1985",2.43,38,2.73,61,2.1,47,86,0.4,31,13,0
Joe Ellenberger,"['15', '2', '0']",69,155,72,Orthodox,"Mar28,1985",1.62,47,3.45,48,3.17,40,0,1.1,15,2,0
Tim Elliott,"['16', '8', '1']",67,135,66,Southpaw,"Dec24,1986",3.41,45,2.3,62,4.26,65,50,1.4,16,8,1
Anna Elmose,"['3', '2', '0']",63,115,65,Orthodox,"Oct06,1984",3.68,49,4.64,56,0.0,0,33,0.0,3,2,0
Ramazan Emeev,"['16', '3', '0']",70,185,76,Southpaw,"May23,1987",2.53,53,1.93,58,1.0,11,0,0.0,16,3,0
Fedor Emelianenko,"['34', '4', '0 (1 NC)']",72,230,74,Orthodox,"Sep28,1976",3.18,51,1.0,63,2.0,63,82,1.9,34,4,0
Rob Emerson,"['11', '10', '0 (1 NC)']",69,155,70,Orthodox,"Jul30,1981",2.5,30,2.83,64,2.02,52,65,0.4,11,10,0
Josh Emmett,"['13', '2', '0']",66,145,70,Orthodox,"Mar04,1985",3.89,37,3.64,63,1.9,52,50,0.2,13,2,0
Oliver Enkamp,"['7', '2', '0']",72,170,77,Switch,"Aug10,1991",2.38,36,3.55,37,0.87,16,0,0.0,7,2,0
Alex Enlund,"['14', '2', '0 (1 NC)']",70,145,73,Orthodox,"May27,1987",0.0,0,0.0,0,0.0,0,0,0.0,14,2,0
Ian Entwistle,"['9', '3', '0']",65,135,64,Orthodox,"Nov19,1986",0.11,7,7.36,31,0.0,0,0,12.1,9,3,0
Andy Enz,"['8', '3', '0']",75,185,78,Orthodox,"Aug15,1991",3.51,23,5.32,57,0.0,0,58,0.0,8,3,0
Konstantin Erokhin,"['9', '3', '0']",71,230,73,Orthodox,"Jan31,1983",1.07,36,1.83,47,0.0,0,70,0.0,9,3,0
Julian Erosa,"['15', '4', '0']",73,145,75,Southpaw,"Jul31,1989",3.74,50,3.84,53,2.19,75,75,1.5,15,4,0
Cole Escovedo,"['17', '8', '0']",67,135,72,Orthodox,"Aug30,1981",1.82,45,4.85,45,0.55,40,10,0.0,17,8,0
Efrain Escudero,"['25', '11', '0']",69,155,70,Orthodox,"Jan15,1986",2.92,44,2.3,63,1.31,40,66,0.8,25,11,0
Jordan Espinosa,"['10', '5', '0 (1 NC)']",66,125,71,Orthodox,"Nov08,1989",5.06,63,3.61,54,0.0,0,100,10.8,10,5,0
Jodie Esquibel,"['6', '3', '0']",63,115,64,Orthodox,"May07,1986",4.33,37,8.47,61,0.0,0,50,0.0,6,3,0
Terry Etim,"['15', '5', '0']",73,155,73,Orthodox,"Jan11,1986",2.16,35,2.53,67,0.43,30,39,1.4,15,5,0
Billy Evangelista,"['11', '2', '0 (1 NC)']",68,155,68,Orthodox,"Oct07,1980",4.51,40,3.96,61,1.6,19,61,0.2,11,2,0
Rashad Evans,"['24', '7', '1']",72,185,75,Orthodox,"Sep25,1979",2.14,37,2.41,63,2.99,45,73,0.0,24,7,1
Ashlee Evans-Smith,"['5', '3', '0']",68,125,67,Orthodox,"Jul09,1987",4.15,38,3.06,64,1.19,28,66,0.0,5,3,0
Tonya Evinger,"['19', '6', '0 (1 NC)']",67,145,70,Orthodox,"Jun04,1981",1.38,39,3.15,46,1.01,40,28,1.5,19,6,0
Jessica Eye,"['12', '6', '0 (1 NC)']",66,125,66,Orthodox,"Jul27,1986",3.27,37,3.31,58,0.54,80,60,0.9,12,6,0
Urijah Faber,"['34', '10', '0']",66,135,67,Orthodox,"May14,1979",2.66,41,2.51,65,1.59,31,60,0.9,34,10,0
Wagnney Fabiano,"['14', '3', '0']",66,145,69,Southpaw,"Jul14,1975",1.19,38,0.66,70,3.44,64,100,0.4,14,3,0
Bartosz Fabinski,"['13', '2', '0']",72,185,75,Orthodox,"Apr26,1986",2.2,71,0.77,50,8.0,72,100,0.0,13,2,0
Kelly Faszholz,"['3', '2', '0']",68,135,67,Orthodox,"Apr09,1985",4.01,48,3.61,52,0.0,0,44,0.0,3,2,0
Paul Felder,"['15', '3', '0']",71,155,70,Orthodox,"Apr25,1984",3.49,43,2.8,52,0.4,37,60,0.4,15,3,0
Tony Ferguson,"['24', '3', '0']",71,155,76,Orthodox,"Feb12,1984",5.09,42,3.48,64,0.64,42,76,1.6,24,3,0
Josh Ferguson,"['7', '5', '0']",65,125,66,Orthodox,"May13,1988",2.13,43,4.18,32,0.59,11,54,0.0,7,5,0
Cezar Ferreira,"['13', '6', '0']",73,185,78,Southpaw,"Feb15,1985",1.87,41,2.01,57,2.59,63,93,0.5,13,6,0
Diego Ferreira,"['13', '2', '0']",69,155,74,Orthodox,"Jan18,1985",3.86,38,3.08,53,0.35,11,62,1.0,13,2,0
Drew Fickett,"['41', '16', '0']",70,155,70,Orthodox,"Dec14,1979",2.33,41,2.29,57,1.3,35,30,2.2,41,16,0
Deiveson Figueiredo,"['14', '0', '0']",65,125,68,Orthodox,"Dec18,1987",1.94,49,1.59,55,2.17,55,41,4.3,14,0,0
Edwin Figueroa,"['9', '4', '0']",67,135,69,Orthodox,"Jul31,1984",2.57,39,3.06,51,0.2,100,37,0.6,9,4,0
Andre Fili,"['18', '5', '0']",71,145,74,Orthodox,"Jun25,1990",3.9,37,3.64,55,2.91,45,67,0.1,18,5,0
Mirko Cro Cop,"['31', '11', '2 (1 NC)']",74,230,73,Southpaw,"Sep10,1974",2.11,50,1.89,63,0.19,40,78,0.3,31,11,2
Luigi Fioravanti,"['22', '11', '0']",68,170,70,Orthodox,"Jan22,1981",2.23,42,2.21,69,3.76,63,67,0.9,22,11,0
Spencer Fisher,"['25', '9', '0']",67,155,70,Southpaw,"May09,1976",3.17,43,3.03,64,0.67,30,60,0.8,25,9,0
Jon Fitch,"['27', '5', '1 (1 NC)']",72,170,76,Orthodox,"Feb24,1978",2.61,50,1.65,54,3.6,51,56,0.8,27,5,1
Colin Fletcher,"['9', '3', '0']",74,155,78,Orthodox,"Jan08,1983",3.1,34,2.97,62,0.0,0,27,0.0,9,3,0
Kenny Florian,"['14', '6', '0']",70,145,74,Southpaw,"May26,1976",2.41,40,1.85,63,2.22,33,60,1.3,14,6,0
Caros Fodor,"['7', '3', '0']",69,155,76,Orthodox,"Jan07,1984",2.76,54,2.83,54,2.1,25,50,0.0,7,3,0
Rob Font,"['15', '3', '0']",68,135,71,Orthodox,"Jun25,1987",5.28,43,3.72,65,1.46,29,33,1.2,15,3,0
Jesse Forbes,"['15', '5', '0']",74,185,75,Southpaw,"Oct24,1984",2.11,24,4.06,53,1.79,75,66,1.2,15,5,0
Renee Forte,"['8', '4', '0']",67,155,71,Orthodox,"Mar27,1987",2.08,32,2.12,63,2.32,58,66,0.0,8,4,0
Marcel Fortuna,"['9', '3', '0']",73,205,74,Orthodox,"Oct22,1985",3.83,46,4.52,64,0.45,8,75,0.5,9,3,0
Brian Foster,"['18', '5', '0']",69,170,71,Orthodox,"Apr03,1984",3.3,39,1.63,65,3.67,60,37,1.8,18,5,0
Hermes Franca,"['22', '12', '0 (1 NC)']",66,155,71,Orthodox,"Aug26,1974",1.78,39,2.85,55,1.53,36,37,2.4,22,12,0
John Franchi,"['6', '2', '0']",66,145,67,Orthodox,"Jul16,1982",1.83,48,2.59,48,2.68,80,40,0.3,6,2,0
Rich Franklin,"['29', '7', '0 (1 NC)']",73,185,75,Southpaw,"Oct05,1974",4.1,44,2.07,62,1.31,66,63,0.7,29,7,0
Matt Frevola,"['6', '1', '0']",69,155,71,Orthodox,"Jun11,1990",3.04,34,3.78,53,3.15,50,100,3.1,6,1,0
Riki Fukuda,"['19', '7', '0 (1 NC)']",72,185,73,Southpaw,"Jan06,1981",4.24,43,3.71,64,2.17,43,70,0.0,19,7,0
Masio Fullen,"['10', '6', '0']",70,145,70,Orthodox,"Oct06,1986",2.46,32,3.5,54,0.47,33,69,0.0,10,6,0
Ricardo Funch,"['8', '4', '0']",70,170,76,Southpaw,"Aug14,1980",2.61,65,3.57,40,1.24,18,60,0.0,8,4,0
Claudia Gadelha,"['15', '3', '0']",64,115,63,Orthodox,"Dec07,1988",3.44,42,4.71,57,3.93,50,61,1.0,15,3,0
Sheila Gaff,"['10', '6', '1']",65,135,62,Orthodox,"Dec29,1989",1.6,50,2.89,28,0.0,0,20,0.0,10,6,1
Mitch Gagnon,"['12', '4', '0']",65,135,65,Southpaw,"Oct10,1984",3.18,48,2.13,63,1.43,26,67,1.9,12,4,0
Mickey Gall,"['4', '1', '0']",74,170,74,Switch,"Jan22,1992",1.54,54,2.31,43,1.83,60,50,4.9,4,1,0
Tom Gallicchio,"['19', '11', '0']",70,170,73,Southpaw,"Sep23,1986",3.53,26,7.07,43,1.0,11,0,0.0,19,11,0
Manvel Gamburyan,"['18', '11', '0 (1 NC)']",65,135,67,Orthodox,"May08,1981",2.13,41,2.83,55,3.26,34,69,0.7,18,11,0
Cody Garbrandt,"['11', '1', '0']",68,135,65,Orthodox,"Jul07,1991",3.45,37,2.99,69,1.06,38,100,0.0,11,1,0
Leonard Garcia,"['19', '11', '1']",70,145,69,Orthodox,"Jul14,1979",2.77,24,4.79,52,0.3,26,42,0.5,19,11,1
Edgar Garcia,"['14', '5', '0']",70,170,71,Orthodox,"Feb22,1984",3.16,29,4.23,60,2.21,57,50,0.6,14,5,0
Alex Garcia,"['15', '4', '0']",69,170,72,Orthodox,"Jul14,1987",2.0,30,3.22,61,3.96,52,55,0.2,15,4,0
Pablo Garza,"['13', '4', '0']",73,145,73,Orthodox,"Sep16,1983",3.37,44,2.7,50,0.94,25,15,1.3,13,4,0
Azamat Gashimov,"['10', '3', '0']",66,125,66,Orthodox,"Apr07,1990",1.24,21,4.75,53,1.69,25,0,0.0,10,3,0
Kelvin Gastelum,"['15', '3', '0 (1 NC)']",69,185,71,Southpaw,"Oct24,1991",3.89,44,2.73,62,0.9,50,58,0.2,15,3,0
Willie Gates,"['12', '7', '0']",68,125,70,Orthodox,"Jan21,1987",1.8,38,4.28,38,0.0,0,67,0.4,12,7,0
Louis Gaudinot,"['6', '4', '0 (1 NC)']",63,125,63,Orthodox,"Aug28,1984",2.34,37,6.42,48,0.57,40,31,1.1,6,4,0
Chad George,"['13', '6', '0']",66,135,68,Southpaw,"Apr30,1982",1.26,50,1.11,65,3.08,46,0,1.3,13,6,0
Christos Giagos,"['11', '4', '0']",70,155,71,Orthodox,"Jan23,1990",2.16,38,1.68,47,0.65,20,37,0.7,11,4,0
Cody Gibson,"['12', '6', '0']",70,135,71,Orthodox,"Sep11,1987",2.47,31,2.54,63,1.85,38,58,0.4,12,6,0
Joe Gigliotti,"['7', '2', '0']",71,185,69,Orthodox,"Aug13,1993",1.04,39,2.92,45,1.56,100,50,0.8,7,2,0
Trevin Giles,"['11', '0', '0']",72,185,74,Orthodox,"Aug06,1992",5.45,66,1.13,76,3.69,100,66,0.0,11,0,0
Gregor Gillespie,"['11', '0', '0']",69,155,71,Orthodox,"Nov13,1986",3.77,48,2.78,55,5.49,37,0,0.6,11,0,0
Rick Glenn,"['20', '5', '1']",72,145,70,Southpaw,"Apr12,1989",4.43,45,4.3,52,1.0,16,72,0.2,20,5,1
Mark Godbeer,"['13', '4', '0']",76,240,77,Orthodox,"Nov22,1983",3.97,53,3.3,54,0.0,0,28,0.0,13,4,0
Marcelo Golm,"['6', '1', '0']",75,249,75,Orthodox,"Sep15,1992",5.49,66,4.61,48,0.88,100,100,0.9,6,1,0
Frank Gomez,"['10', '4', '0']",70,135,67,Orthodox,"Mar31,1986",1.52,48,0.79,66,1.14,60,70,0.8,10,4,0
Ulysses Gomez,"['9', '4', '0']",66,125,66,Orthodox,"May25,1983",2.72,25,3.57,68,0.0,0,0,0.0,9,4,0
Joey Gomez,"['6', '2', '0']",70,135,73,Orthodox,"Jul21,1986",2.44,28,4.46,55,0.62,100,50,0.0,6,2,0
Luis Gomez,"['4', '1', '0']",67,145,68,Orthodox,"Jan28,1995",1.57,33,4.03,55,4.48,50,33,0.0,4,1,0
Takanori Gomi,"['35', '14', '0 (1 NC)']",67,155,70,Southpaw,"Sep22,1978",3.81,41,3.52,60,1.23,65,63,0.8,35,14,0
Akihiro Gono,"['32', '16', '7']",67,170,68,Switch,"Oct07,1974",2.18,48,2.67,63,1.01,84,46,0.5,32,16,7
Gabriel Gonzaga,"['17', '11', '0']",74,242,76,Orthodox,"May18,1979",2.12,45,2.94,57,2.8,39,66,1.1,17,11,0
Fernando Gonzalez,"['19', '11', '0']",69,170,68,Southpaw,"Sep15,1983",4.18,44,4.22,65,0.6,25,43,1.5,19,11,0
Lewis Gonzalez,"['10', '2', '0']",70,170,73,Orthodox,"Sep19,1987",1.4,37,1.87,41,2.0,33,62,0.0,10,2,0
Jason Gonzalez,"['11', '4', '0']",74,155,74,Southpaw,"Feb28,1990",2.81,39,3.19,60,0.0,0,37,1.2,11,4,0
Pearl Gonzalez,"['6', '3', '0']",64,115,68,Orthodox,"Aug12,1986",2.23,37,4.07,57,1.04,11,0,0.5,6,3,0
Lyman Good,"['19', '4', '0 (1 NC)']",72,170,74,Orthodox,"May26,1985",5.5,47,4.36,67,0.64,100,85,0.0,19,4,0
Eddie Gordon,"['8', '4', '0']",72,185,76,Orthodox,"Jul22,1983",2.03,32,2.57,60,1.93,83,63,0.0,8,4,0
Jared Gordon,"['14', '2', '0']",69,155,68,Orthodox,"Sep06,1988",6.68,50,2.92,68,3.41,42,100,0.0,14,2,0
Tim Gorman,"['9', '4', '0']",65,135,68,Southpaw,"Apr29,1983",2.73,31,5.57,46,1.0,9,33,0.0,9,4,0
Jonathan Goulet,"['23', '12', '0 (1 NC)']",72,170,73,Orthodox,"Jul13,1979",1.61,41,2.0,46,4.17,70,45,0.6,23,12,0
Thibault Gouti,"['12', '4', '0']",70,155,72,Orthodox,"Feb27,1987",3.01,42,4.48,49,1.77,80,82,0.4,12,4,0
Wilson Gouveia,"['12', '8', '0']",73,185,76,Orthodox,"Oct03,1978",3.02,39,4.06,56,0.9,66,57,2.2,12,8,0
Damian Grabowski,"['20', '5', '0']",73,241,75,Orthodox,"May12,1980",4.0,36,7.65,51,0.0,0,0,0.0,20,5,0
Roger Gracie,"['6', '2', '0']",76,185,79,Orthodox,"Sep26,1981",1.78,35,1.79,61,1.87,53,60,1.9,6,2,0
TJ Grant,"['21', '5', '0']",70,155,72,Orthodox,"Feb26,1984",3.95,54,3.21,56,1.63,43,36,0.6,21,5,0
Alexa Grasso,"['10', '1', '0']",65,115,66,Orthodox,"Aug09,1993",4.64,42,3.22,67,0.33,50,68,0.3,10,1,0
Shelton Graves,"['7', '3', '0']",74,255,76,Southpaw,"Oct23,1985",2.19,69,0.81,33,4.86,57,0,0.0,7,3,0
Kevin Gray,"['9', '4', '0']",64,125,67,Orthodox,"May03,1985",3.45,62,4.48,66,0.0,0,0,0.0,9,4,0
Bobby Green,"['24', '8', '1']",70,155,71,Orthodox,"Sep09,1986",5.0,48,3.87,63,1.03,25,71,0.2,24,8,1
Desmond Green,"['20', '7', '0']",70,155,73,Southpaw,"Oct11,1989",3.04,46,2.47,65,1.67,50,70,0.0,20,7,0
Matt Grice,"['15', '5', '0']",68,145,70,Orthodox,"Jul29,1981",4.09,53,2.69,56,2.19,37,82,0.5,15,5,0
Forrest Griffin,"['19', '7', '0']",75,205,77,Orthodox,"Mar16,1979",4.38,36,2.81,61,1.05,48,57,0.7,19,7,0
Tyson Griffin,"['15', '6', '0']",66,145,68,Orthodox,"Apr20,1984",3.71,41,2.3,65,1.87,46,59,0.9,15,6,0
Max Griffin,"['14', '4', '0']",71,170,76,Orthodox,"Nov29,1985",3.63,42,3.66,53,0.0,0,61,0.3,14,4,0
Chad Griggs,"['11', '3', '0']",73,205,73,Orthodox,"May15,1978",2.67,50,2.22,46,1.51,66,41,0.0,11,3,0
Josh Grispi,"['14', '5', '0']",71,145,74,Orthodox,"Oct14,1988",1.44,41,3.71,50,1.97,36,16,2.2,14,5,0
Kendall Grove,"['13', '10', '0 (1 NC)']",78,185,79,Orthodox,"Nov12,1982",2.31,41,2.4,54,0.49,45,56,1.7,13,10,0
Chris Gruetzemacher,"['13', '3', '0']",68,155,68,Orthodox,"Jun16,1986",5.39,54,5.18,53,0.0,0,59,0.0,13,3,0
Vik Grujic,"['7', '6', '0']",71,170,73,Orthodox,"Feb06,1977",2.24,48,3.39,41,1.18,33,26,0.4,7,6,0
Wang Guan,"['20', '1', '1']",69,145,71,Orthodox,"Mar14,1986",4.73,43,3.27,60,0.0,0,0,0.0,20,1,1
Shannon Gugerty,"['14', '6', '0']",70,155,71,Orthodox,"Dec30,1981",1.25,39,1.88,58,2.13,27,50,3.4,14,6,0
Clay Guida,"['34', '14', '0']",67,155,70,Orthodox,"Dec08,1981",2.32,32,2.36,65,3.45,37,69,0.7,34,14,0
Melvin Guillard,"['48', '15', '3 (2 NC)']",69,155,68,Orthodox,"Mar30,1983",2.96,40,1.85,66,1.3,63,61,0.2,48,15,3
Marcelo Guimaraes,"['9', '2', '1']",72,185,73,Orthodox,"Jun25,1983",4.67,51,4.41,62,1.99,13,0,0.0,9,2,1
Leonardo Augusto Leleco,"['11', '3', '0 (1 NC)']",72,185,73,Orthodox,"Apr15,1982",2.35,56,2.99,44,0.0,0,52,1.0,11,3,0
John Gunderson,"['32', '12', '2']",69,155,69,Orthodox,"Jan05,1979",1.04,27,1.71,58,1.67,33,11,2.0,32,12,2
Jorge Gurgel,"['14', '9', '0']",67,155,69,Orthodox,"Jan25,1977",3.37,32,3.62,62,0.81,23,60,0.5,14,9,0
Alexander Gustafsson,"['18', '4', '0']",77,205,79,Orthodox,"Jan15,1987",4.18,40,3.4,52,1.76,40,85,0.5,18,4,0
Mike Guymon,"['12', '5', '1']",72,170,74,Orthodox,"Sep17,1974",2.75,65,0.79,66,1.87,37,54,1.2,12,5,1
Damir Hadzovic,"['11', '4', '0']",69,155,70,Orthodox,"Aug08,1986",1.56,45,2.91,50,0.0,0,31,0.5,11,4,0
Tim Hague,"['13', '5', '0']",76,260,76,Orthodox,"May09,1983",2.79,47,4.14,46,1.72,33,85,0.9,13,5,0
Uriah Hall,"['14', '8', '0']",72,185,79,Orthodox,"Jul31,1984",3.13,53,3.16,54,1.0,41,71,0.3,14,8,0
Dennis Hallman,"['67', '14', '2 (1 NC)']",69,155,72,Orthodox,"Dec02,1975",1.12,44,1.96,43,1.79,30,25,2.1,67,14,2
Piotr Hallmann,"['15', '5', '0']",69,155,71,Orthodox,"Aug25,1987",3.98,45,3.17,58,2.55,44,70,0.4,15,5,0
Seohee Ham,"['16', '8', '0']",62,115,62,Southpaw,"Mar08,1987",4.2,39,5.15,61,0.0,0,66,0.2,16,8,0
Matt Hamill,"['12', '5', '0']",73,205,76,Orthodox,"Oct05,1976",3.69,42,3.8,61,3.0,34,91,0.0,12,5,0
Anthony Hamilton,"['15', '9', '0']",77,260,76,Orthodox,"Apr14,1980",3.91,65,3.02,45,2.62,42,78,0.0,15,9,0
CJ Hamilton,"['11', '4', '0']",67,125,68,Switch,"Oct07,1986",2.47,31,3.93,58,0.0,0,62,0.0,11,4,0
Jared Hamman,"['13', '6', '0']",75,185,75,Orthodox,"Mar07,1982",5.15,42,3.93,55,1.57,46,30,0.0,13,6,0
Nasrat Haqparast,"['8', '2', '0']",70,155,72,Southpaw,"Aug22,1995",1.8,36,1.27,78,1.0,100,70,0.0,8,2,0
Antoni Hardonk,"['8', '6', '0']",76,245,78,Orthodox,"Feb05,1976",3.4,61,3.07,46,0.0,0,40,0.9,8,6,0
Dan Hardy,"['25', '10', '0 (1 NC)']",72,170,74,Orthodox,"May17,1982",2.46,35,3.44,51,0.73,35,35,0.4,25,10,0
Gerald Harris,"['19', '4', '0']",71,185,77,Southpaw,"Nov19,1979",1.41,29,1.58,62,2.96,54,72,0.0,19,4,0
Phil Harris,"['22', '12', '0 (2 NC)']",64,125,64,Orthodox,"Sep04,1983",2.34,26,3.16,68,1.76,21,60,0.0,22,12,0
Walt Harris,"['10', '7', '0']",77,250,77,Southpaw,"Jun10,1983",3.01,39,2.79,63,0.25,33,75,0.2,10,7,0
Collin Hart,"['4', '2', '1']",73,185,76,Orthodox,"Oct12,1989",6.33,44,7.53,51,2.0,16,50,0.0,4,2,1
Dale Hartt,"['6', '3', '0']",70,155,69,Orthodox,"Apr04,1979",1.14,35,1.55,66,1.22,100,25,2.5,6,3,0
John Hathaway,"['17', '2', '0']",73,170,75,Orthodox,"Jul23,1987",3.4,40,1.8,62,2.61,43,60,0.9,17,2,0
Phil Hawes,"['4', '1', '0']",73,185,70,Orthodox,"Jan08,1989",2.32,41,4.77,48,2.05,14,0,0.0,4,1,0
Tommy Hayden,"['8', '2', '0']",69,145,72,Southpaw,"Mar11,1986",1.48,27,2.05,55,3.42,33,66,0.0,8,2,0
Dustin Hazelett,"['12', '7', '0']",73,170,76,Orthodox,"Apr29,1986",2.24,40,3.51,46,0.55,50,25,4.1,12,7,0
James Head,"['9', '4', '0']",73,170,73,Orthodox,"Feb09,1984",2.75,48,3.11,49,0.41,100,66,0.8,9,4,0
Pat Healy,"['31', '19', '0 (1 NC)']",72,155,74,Orthodox,"Jul20,1983",2.57,36,2.57,50,3.08,37,55,1.1,31,19,0
David Heath,"['16', '7', '0']",71,205,72,Orthodox,"Feb10,1976",1.48,30,5.16,49,0.33,50,57,1.0,16,7,0
Chris Heatherly,"['9', '3', '0 (1 NC)']",69,155,68,Orthodox,"Nov24,1987",1.08,45,2.67,52,3.39,50,100,0.7,9,3,0
Jake Hecht,"['11', '4', '0']",72,170,76,Orthodox,"Feb09,1984",3.26,47,2.76,56,2.04,37,40,0.0,11,4,0
Nick Hein,"['14', '2', '0 (1 NC)']",66,155,66,Southpaw,"Apr24,1984",2.6,38,2.65,65,1.0,33,90,0.0,14,2,0
Marcin Held,"['23', '7', '0']",69,155,71,Orthodox,"Jan18,1992",1.41,34,2.02,47,2.46,46,37,1.3,23,7,0
Dan Henderson,"['32', '15', '0']",71,185,74,Orthodox,"Aug24,1970",2.44,47,2.7,51,1.52,52,57,0.3,32,15,0
Benson Henderson,"['23', '5', '0']",69,170,70,Southpaw,"Nov16,1983",2.93,45,1.79,63,2.4,45,63,0.8,23,5,0
Johny Hendricks,"['18', '8', '0']",69,185,69,Southpaw,"Sep12,1983",3.49,45,3.99,53,3.83,46,63,0.3,18,8,0
Luis Henrique,"['10', '4', '0 (1 NC)']",74,243,74,Orthodox,"Aug21,1993",1.76,41,2.01,44,2.85,36,50,1.0,10,4,0
Danny Henry,"['12', '2', '0']",72,145,73,Orthodox,"Jul17,1988",6.07,53,4.6,45,0.96,33,100,2.9,12,2,0
Ed Herman,"['24', '13', '0 (1 NC)']",73,205,77,Orthodox,"Oct02,1980",2.98,51,2.86,40,2.6,52,60,1.4,24,13,0
Dave Herman,"['21', '6', '0']",76,242,76,Orthodox,"Oct03,1984",4.98,60,3.78,48,1.49,100,58,0.0,21,6,0
