Fighter Name,Fighter Record,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie
Wanderlei Silva,"['35', '12', '1 (1 NC)']",71,205,74,Orthodox,"Jul03,1976",2.79,40,2.19,60,0.97,53,62,0.6,35,12,1
Thiago Silva,"['16', '3', '0 (2 NC)']",74,205,74,Orthodox,"Nov12,1982",3.92,50,2.55,67,1.03,47,70,0.7,16,3,0
Antonio Silva,"['19', '10', '1 (1 NC)']",76,264,80,Orthodox,"Sep14,1979",2.89,45,3.09,50,0.82,29,66,0.8,19,10,1
Erick Silva,"['19', '9', '0 (1 NC)']",72,170,74,Orthodox,"Jun21,1984",2.5,48,4.18,49,0.85,35,56,1.4,19,9,0
Leandro Silva,"['19', '4', '1 (1 NC)']",69,155,72,Orthodox,"Nov11,1985",2.39,48,2.08,63,1.76,37,65,0.4,19,4,1
Wagner Silva,"['3', '3', '0']",72,170,71,Orthodox,"Feb07,1987",1.69,29,2.87,65,0.0,0,58,0.0,3,3,0
Felipe Silva,"['8', '1', '0']",72,155,77,Orthodox,"May08,1984",4.2,34,4.2,35,0.0,0,0,0.0,8,1,0
Douglas Silva de Andrade,"['25', '2', '0 (1 NC)']",67,135,68,Orthodox,"Jun22,1985",3.92,36,4.08,61,0.89,57,68,0.0,25,2,0
Elias Silverio,"['11', '2', '0']",71,155,73,Orthodox,"Sep22,1986",3.67,49,2.97,51,1.62,38,85,0.2,11,2,0
Ricky Simon,"['10', '1', '0']",66,135,69,Orthodox,"Aug31,1992",3.2,48,2.4,72,14.0,73,0,0.0,10,1,0
Aaron Simpson,"['11', '4', '0']",72,170,73,Orthodox,"Jul20,1974",3.6,52,2.53,56,3.78,34,83,0.5,11,4,0
Tony Sims,"['12', '4', '0']",71,155,70,Southpaw,"Oct14,1985",1.81,63,0.76,65,0.71,50,50,0.7,12,4,0
Everett Sims,"['4', '1', '0']",77,260,77,Southpaw,"Sep04,1988",0.81,66,2.19,30,0.0,0,42,1.2,4,1,0
Rory Singer,"['11', '9', '0']",74,185,77,Orthodox,"May28,1976",2.55,39,2.42,63,0.39,25,64,0.8,11,9,0
Elvis Sinosic,"['7', '11', '2']",75,205,77,Orthodox,"Feb13,1971",1.13,37,4.6,53,0.0,0,0,1.2,7,11,2
Dennis Siver,"['23', '11', '0 (1 NC)']",66,145,70,Orthodox,"Jan13,1979",3.87,32,2.67,65,0.87,32,65,0.3,23,11,0
Chas Skelly,"['17', '3', '0']",71,145,72,Orthodox,"May11,1985",1.95,39,3.58,45,1.82,33,36,2.5,17,3,0
Scott Smith,"['17', '9', '0 (1 NC)']",72,185,70,Orthodox,"May21,1979",1.86,27,5.94,50,0.13,6,58,0.4,17,9,0
Trevor Smith,"['15', '7', '0']",75,185,75,Orthodox,"Jan05,1981",3.38,59,2.68,51,1.94,34,54,1.0,15,7,0
Anthony Smith,"['28', '13', '0']",76,185,76,Orthodox,"Jul26,1988",3.11,44,4.0,45,0.51,30,46,0.9,28,13,0
Colton Smith,"['6', '4', '0']",72,155,71,Orthodox,"Aug14,1987",1.64,41,2.3,51,4.09,36,25,1.4,6,4,0
Gilbert Smith,"['5', '2', '0']",69,185,75,Southpaw,"Oct19,1981",1.09,41,2.73,35,3.51,60,0,1.2,5,2,0
Leslie Smith,"['10', '7', '1']",69,135,66,Orthodox,"Aug17,1982",7.56,40,8.41,51,0.0,0,62,0.0,10,7,1
