Fighter Name,Fighter Height,Fighter Weight,Fighter Reach,Fighter Stance,Fighter DOB,Fighter SLpM,Fighter Striking Accuracy,Fighter SApM,Fighter Striking Defence,Fighter Take Down Average,Fighter Take Down Accuracy,Fighter Take Down Defence,Fighter Submission Average,wins,loss,tie,total,win percent
Louis Smolka,69,125,68,Orthodox,"Jul16,1991",3.88,45,3.39,52,1.6,34,31,2.2,11,5,0,16,0.6875
Peter Sobotta,72,170,75,Southpaw,"Jan11,1987",2.17,39,2.89,59,1.76,35,77,0.6,17,6,1,24,0.7083333333333334
Renato Sobral,73,205,75,Orthodox,"Sep07,1975",2.23,45,1.53,57,2.48,42,65,2.6,36,9,0,45,0.8
Rameau Thierry Sokoudjou,70,205,78,Orthodox,"Apr18,1984",2.26,45,2.61,56,1.93,47,78,0.9,12,10,0,22,0.5454545454545454
Chael Sonnen,73,205,74,Southpaw,"Apr03,1977",3.08,43,1.1,62,3.81,59,66,0.4,29,14,1,44,0.6590909090909091
Sean Soriano,69,145,70,Orthodox,"Oct06,1989",3.15,61,2.31,52,1.27,42,55,0.0,8,3,0,11,0.7272727272727273
Dmitry Sosnovskiy,75,240,77,Orthodox,"Jul06,1989",2.95,70,2.53,35,3.16,66,100,3.2,11,0,0,11,1.0
Krzysztof Soszynski,73,205,77,OpenStance,"Aug02,1977",3.37,39,3.13,58,0.52,25,71,1.0,26,12,1,39,0.6666666666666666
George Sotiropoulos,70,155,71,Orthodox,"Jul09,1977",2.61,27,2.52,67,2.32,31,53,1.6,14,6,0,20,0.7
Greg Soto,71,170,73,Orthodox,"Jun03,1986",3.21,63,2.61,52,1.49,27,44,1.0,8,2,0,10,0.8
Alex Soto,68,135,71,Southpaw,"Feb15,1984",2.95,25,5.02,59,2.82,30,0,0.0,6,2,1,9,0.6666666666666666
Joe Soto,66,135,65,Orthodox,"Mar22,1987",3.36,41,5.37,67,0.85,21,70,1.9,18,7,0,25,0.72
Andre Soukhamthath,69,135,70,Orthodox,"Oct23,1988",2.62,40,3.64,58,1.17,50,80,0.0,12,6,0,18,0.6666666666666666
Jacare Souza,73,185,72,Orthodox,"Dec07,1979",2.28,44,2.19,63,3.35,44,58,1.8,25,5,0,30,0.8333333333333334
Kevin Souza,72,145,74,Orthodox,"Oct17,1984",4.65,44,2.91,58,0.0,0,50,0.0,19,4,0,23,0.8260869565217391
Tommy Speer,70,170,71,Orthodox,"Aug20,1984",2.56,51,5.12,35,2.02,33,33,0.0,19,5,0,24,0.7916666666666666
Eric Spicely,73,185,73,Orthodox,"Sep29,1986",1.96,61,2.45,55,2.5,25,0,1.9,10,4,0,14,0.7142857142857143
Daniel Spitz,79,245,82,Orthodox,"Jul31,1990",3.64,39,5.97,45,1.95,66,0,0.0,6,1,0,7,0.8571428571428571
Daniel Spohn,76,205,79,Southpaw,"Oct12,1984",2.42,49,1.6,53,0.0,0,28,2.5,15,6,0,21,0.7142857142857143
Georges St-Pierre,71,185,76,Orthodox,"May19,1981",3.78,53,1.4,72,4.16,74,83,1.1,26,2,0,28,0.9285714285714286
Andreas Stahl,71,170,73,Orthodox,"May20,1988",2.83,37,4.74,57,1.55,66,80,0.0,9,2,0,11,0.8181818181818182
